Transaction_ID,Date,Account,Category,Sub_Category,Description,Amount,Currency,Status,Merchant,Tax_Tag,Project,Balance
TXN-1030,2026-01-11,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_41,INC-01,Core,8433.74
TXN-1031,2026-01-11,Checking,Lifestyle,Entertainment,Cinema/Streaming,-72.34,USD,Cleared,Merchant_3,ENT-01,Personal,8361.40
TXN-1032,2026-01-11,Checking,Business,Software,SaaS Subscription,-79.27,USD,Cleared,Merchant_30,BIZ-EXP,Project_Alpha,8282.13
TXN-1033,2026-01-12,Checking,Travel,Uber,Airport Ride,-61.36,USD,Cleared,Merchant_0,BIZ-TRAV,Travel_Q1,8220.77
TXN-1034,2026-01-12,Checking,Healthcare,Pharmacy,Medical Supplies,-62.17,USD,Cleared,Merchant_31,MED-01,Wellness,8158.60
TXN-1035,2026-01-12,Checking,Healthcare,Pharmacy,Medical Supplies,-61.15,USD,Cleared,Merchant_16,MED-01,Wellness,8097.45
TXN-1036,2026-01-13,Credit,Transport,Fuel,Gas Station,-115.35,USD,Cleared,Merchant_46,TRA-01,Commute,7982.10
TXN-1037,2026-01-13,Checking,Food,Groceries,Weekly Shop,-115.19,USD,Cleared,Merchant_14,FOOD-01,Living,7866.91
TXN-1038,2026-01-13,Credit,Lifestyle,Entertainment,Cinema/Streaming,-18.93,USD,Cleared,Merchant_0,ENT-01,Personal,7847.98
TXN-1039,2026-01-14,Credit,Healthcare,Pharmacy,Medical Supplies,-58.07,USD,Cleared,Merchant_36,MED-01,Wellness,7789.91
TXN-1040,2026-01-14,Credit,Healthcare,Pharmacy,Medical Supplies,-105.35,USD,Cleared,Merchant_25,MED-01,Wellness,7684.56
TXN-1041,2026-01-14,Credit,Lifestyle,Entertainment,Cinema/Streaming,-105.29,USD,Cleared,Merchant_33,ENT-01,Personal,7579.27
TXN-1042,2026-01-15,Checking,Food,Groceries,Weekly Shop,-129.53,USD,Cleared,Merchant_21,FOOD-01,Living,7449.74
TXN-1043,2026-01-15,Credit,Travel,Uber,Airport Ride,-147.41,USD,Cleared,Merchant_29,BIZ-TRAV,Travel_Q1,7302.33
TXN-1044,2026-01-15,Checking,Business,Software,SaaS Subscription,-71.19,USD,Cleared,Merchant_30,BIZ-EXP,Project_Alpha,7231.14
TXN-1045,2026-01-16,Credit,Travel,Uber,Airport Ride,-38.38,USD,Cleared,Merchant_15,BIZ-TRAV,Travel_Q1,7192.76
TXN-1046,2026-01-16,Credit,Transport,Fuel,Gas Station,-71.97,USD,Cleared,Merchant_36,TRA-01,Commute,7120.79
TXN-1047,2026-01-16,Checking,Travel,Uber,Airport Ride,-81.93,USD,Cleared,Merchant_46,BIZ-TRAV,Travel_Q1,7038.86
TXN-1048,2026-01-17,Credit,Travel,Uber,Airport Ride,-134.96,USD,Cleared,Merchant_10,BIZ-TRAV,Travel_Q1,6903.90
TXN-1049,2026-01-17,Credit,Lifestyle,Entertainment,Cinema/Streaming,-50.65,USD,Cleared,Merchant_45,ENT-01,Personal,6853.25
TXN-1050,2026-01-17,Checking,Business,Software,SaaS Subscription,-32.07,USD,Cleared,Merchant_25,BIZ-EXP,Project_Alpha,6821.18
TXN-1051,2026-01-18,Checking,Dining,Restaurant,Client Lunch,-37.99,USD,Cleared,Merchant_48,BIZ-MEAL,Sales,6783.19
TXN-1052,2026-01-18,Checking,Business,Software,SaaS Subscription,-30.6,USD,Cleared,Merchant_8,BIZ-EXP,Project_Alpha,6752.59
TXN-1053,2026-01-18,Checking,Dining,Restaurant,Client Lunch,-145.02,USD,Cleared,Merchant_41,BIZ-MEAL,Sales,6607.57
TXN-1054,2026-01-19,Credit,Transport,Fuel,Gas Station,-148.52,USD,Cleared,Merchant_3,TRA-01,Commute,6459.05
TXN-1055,2026-01-19,Checking,Transport,Fuel,Gas Station,-61.27,USD,Cleared,Merchant_19,TRA-01,Commute,6397.78
TXN-1056,2026-01-19,Checking,Food,Groceries,Weekly Shop,-83.78,USD,Cleared,Merchant_34,FOOD-01,Living,6314.00
TXN-1057,2026-01-20,Credit,Food,Groceries,Weekly Shop,-64.26,USD,Cleared,Merchant_16,FOOD-01,Living,6249.74
TXN-1058,2026-01-20,Credit,Business,Software,SaaS Subscription,-23.65,USD,Cleared,Merchant_19,BIZ-EXP,Project_Alpha,6226.09
TXN-1059,2026-01-20,Credit,Lifestyle,Entertainment,Cinema/Streaming,-94.01,USD,Cleared,Merchant_37,ENT-01,Personal,6132.08
TXN-1060,2026-01-21,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_0,INC-01,Core,11632.08
TXN-1061,2026-01-21,Checking,Food,Groceries,Weekly Shop,-65.58,USD,Cleared,Merchant_0,FOOD-01,Living,11566.50
TXN-1062,2026-01-21,Checking,Healthcare,Pharmacy,Medical Supplies,-121.95,USD,Cleared,Merchant_47,MED-01,Wellness,11444.55
TXN-1063,2026-01-22,Credit,Healthcare,Pharmacy,Medical Supplies,-71.78,USD,Cleared,Merchant_18,MED-01,Wellness,11372.77
TXN-1064,2026-01-22,Checking,Travel,Uber,Airport Ride,-96.46,USD,Cleared,Merchant_4,BIZ-TRAV,Travel_Q1,11276.31
TXN-1065,2026-01-22,Checking,Healthcare,Pharmacy,Medical Supplies,-121.72,USD,Cleared,Merchant_16,MED-01,Wellness,11154.59
TXN-1066,2026-01-23,Checking,Healthcare,Pharmacy,Medical Supplies,-111.62,USD,Cleared,Merchant_32,MED-01,Wellness,11042.97
TXN-1067,2026-01-23,Checking,Food,Groceries,Weekly Shop,-30.26,USD,Cleared,Merchant_41,FOOD-01,Living,11012.71
TXN-1068,2026-01-23,Checking,Travel,Uber,Airport Ride,-20.21,USD,Cleared,Merchant_24,BIZ-TRAV,Travel_Q1,10992.50
TXN-1069,2026-01-24,Credit,Lifestyle,Entertainment,Cinema/Streaming,-92.49,USD,Cleared,Merchant_19,ENT-01,Personal,10900.01
TXN-1070,2026-01-24,Checking,Dining,Restaurant,Client Lunch,-81.99,USD,Cleared,Merchant_31,BIZ-MEAL,Sales,10818.02
TXN-1071,2026-01-24,Credit,Food,Groceries,Weekly Shop,-56.12,USD,Cleared,Merchant_33,FOOD-01,Living,10761.90
TXN-1072,2026-01-25,Checking,Lifestyle,Entertainment,Cinema/Streaming,-33.01,USD,Cleared,Merchant_25,ENT-01,Personal,10728.89
TXN-1073,2026-01-25,Credit,Transport,Fuel,Gas Station,-19.25,USD,Cleared,Merchant_48,TRA-01,Commute,10709.64
TXN-1074,2026-01-25,Checking,Dining,Restaurant,Client Lunch,-121.92,USD,Cleared,Merchant_38,BIZ-MEAL,Sales,10587.72
TXN-1075,2026-01-26,Checking,Business,Software,SaaS Subscription,-77.86,USD,Cleared,Merchant_22,BIZ-EXP,Project_Alpha,10509.86
TXN-1076,2026-01-26,Credit,Dining,Restaurant,Client Lunch,-129.45,USD,Cleared,Merchant_25,BIZ-MEAL,Sales,10380.41
TXN-1077,2026-01-26,Credit,Healthcare,Pharmacy,Medical Supplies,-128.74,USD,Cleared,Merchant_3,MED-01,Wellness,10251.67
TXN-1078,2026-01-27,Credit,Food,Groceries,Weekly Shop,-146.83,USD,Cleared,Merchant_16,FOOD-01,Living,10104.84
TXN-1079,2026-01-27,Credit,Transport,Fuel,Gas Station,-26.89,USD,Cleared,Merchant_29,TRA-01,Commute,10077.95
TXN-1080,2026-01-27,Credit,Food,Groceries,Weekly Shop,-64.59,USD,Cleared,Merchant_37,FOOD-01,Living,10013.36
TXN-1081,2026-01-28,Credit,Travel,Uber,Airport Ride,-91.64,USD,Cleared,Merchant_36,BIZ-TRAV,Travel_Q1,9921.72
TXN-1082,2026-01-28,Credit,Travel,Uber,Airport Ride,-118.54,USD,Cleared,Merchant_0,BIZ-TRAV,Travel_Q1,9803.18
TXN-1083,2026-01-28,Checking,Transport,Fuel,Gas Station,-56.46,USD,Cleared,Merchant_40,TRA-01,Commute,9746.72
TXN-1084,2026-01-29,Checking,Dining,Restaurant,Client Lunch,-40.68,USD,Cleared,Merchant_7,BIZ-MEAL,Sales,9706.04
TXN-1085,2026-01-29,Credit,Transport,Fuel,Gas Station,-45.3,USD,Cleared,Merchant_4,TRA-01,Commute,9660.74
TXN-1086,2026-01-29,Credit,Food,Groceries,Weekly Shop,-123.23,USD,Cleared,Merchant_3,FOOD-01,Living,9537.51
TXN-1087,2026-01-30,Checking,Healthcare,Pharmacy,Medical Supplies,-134.71,USD,Cleared,Merchant_10,MED-01,Wellness,9402.80
TXN-1088,2026-01-30,Checking,Business,Software,SaaS Subscription,-39.11,USD,Cleared,Merchant_22,BIZ-EXP,Project_Alpha,9363.69
TXN-1089,2026-01-30,Credit,Travel,Uber,Airport Ride,-78.11,USD,Cleared,Merchant_30,BIZ-TRAV,Travel_Q1,9285.58
TXN-1090,2026-01-31,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_48,INC-01,Core,14785.58
TXN-1091,2026-01-31,Credit,Lifestyle,Entertainment,Cinema/Streaming,-48.67,USD,Cleared,Merchant_5,ENT-01,Personal,14736.91
TXN-1092,2026-01-31,Checking,Healthcare,Pharmacy,Medical Supplies,-70.99,USD,Cleared,Merchant_10,MED-01,Wellness,14665.92
TXN-1093,2026-02-01,Checking,Healthcare,Pharmacy,Medical Supplies,-50.95,USD,Cleared,Merchant_38,MED-01,Wellness,14614.97
TXN-1094,2026-02-01,Credit,Business,Software,SaaS Subscription,-83.82,USD,Cleared,Merchant_38,BIZ-EXP,Project_Alpha,14531.15
TXN-1095,2026-02-01,Credit,Healthcare,Pharmacy,Medical Supplies,-80.16,USD,Cleared,Merchant_31,MED-01,Wellness,14450.99
TXN-1096,2026-02-02,Credit,Travel,Uber,Airport Ride,-40.24,USD,Cleared,Merchant_47,BIZ-TRAV,Travel_Q1,14410.75
TXN-1097,2026-02-02,Credit,Healthcare,Pharmacy,Medical Supplies,-10.53,USD,Cleared,Merchant_13,MED-01,Wellness,14400.22
TXN-1098,2026-02-02,Credit,Lifestyle,Entertainment,Cinema/Streaming,-20.59,USD,Cleared,Merchant_37,ENT-01,Personal,14379.63
TXN-1099,2026-02-03,Checking,Lifestyle,Entertainment,Cinema/Streaming,-42.43,USD,Cleared,Merchant_4,ENT-01,Personal,14337.20
TXN-1100,2026-02-03,Credit,Lifestyle,Entertainment,Cinema/Streaming,-78.2,USD,Cleared,Merchant_39,ENT-01,Personal,14259.00
TXN-1101,2026-02-03,Checking,Transport,Fuel,Gas Station,-61.39,USD,Cleared,Merchant_15,TRA-01,Commute,14197.61
TXN-1102,2026-02-04,Credit,Lifestyle,Entertainment,Cinema/Streaming,-33.49,USD,Cleared,Merchant_35,ENT-01,Personal,14164.12
TXN-1103,2026-02-04,Checking,Healthcare,Pharmacy,Medical Supplies,-123.93,USD,Cleared,Merchant_0,MED-01,Wellness,14040.19
TXN-1104,2026-02-04,Checking,Food,Groceries,Weekly Shop,-96.47,USD,Cleared,Merchant_41,FOOD-01,Living,13943.72
TXN-1105,2026-02-05,Checking,Business,Software,SaaS Subscription,-82.45,USD,Cleared,Merchant_24,BIZ-EXP,Project_Alpha,13861.27
TXN-1106,2026-02-05,Credit,Dining,Restaurant,Client Lunch,-115.29,USD,Cleared,Merchant_34,BIZ-MEAL,Sales,13745.98
TXN-1107,2026-02-05,Checking,Healthcare,Pharmacy,Medical Supplies,-121.72,USD,Cleared,Merchant_46,MED-01,Wellness,13624.26
TXN-1108,2026-02-06,Checking,Lifestyle,Entertainment,Cinema/Streaming,-85.98,USD,Cleared,Merchant_9,ENT-01,Personal,13538.28
TXN-1109,2026-02-06,Credit,Dining,Restaurant,Client Lunch,-96.93,USD,Cleared,Merchant_32,BIZ-MEAL,Sales,13441.35
TXN-1110,2026-02-06,Credit,Travel,Uber,Airport Ride,-44.25,USD,Cleared,Merchant_11,BIZ-TRAV,Travel_Q1,13397.10
TXN-1111,2026-02-07,Credit,Travel,Uber,Airport Ride,-25.24,USD,Cleared,Merchant_37,BIZ-TRAV,Travel_Q1,13371.86
TXN-1112,2026-02-07,Credit,Transport,Fuel,Gas Station,-129.36,USD,Cleared,Merchant_33,TRA-01,Commute,13242.50
TXN-1113,2026-02-07,Checking,Travel,Uber,Airport Ride,-61.01,USD,Cleared,Merchant_43,BIZ-TRAV,Travel_Q1,13181.49
TXN-1114,2026-02-08,Credit,Dining,Restaurant,Client Lunch,-128.84,USD,Cleared,Merchant_41,BIZ-MEAL,Sales,13052.65
TXN-1115,2026-02-08,Checking,Travel,Uber,Airport Ride,-14.61,USD,Cleared,Merchant_3,BIZ-TRAV,Travel_Q1,13038.04
TXN-1116,2026-02-08,Credit,Healthcare,Pharmacy,Medical Supplies,-142.44,USD,Cleared,Merchant_36,MED-01,Wellness,12895.60
TXN-1117,2026-02-09,Credit,Healthcare,Pharmacy,Medical Supplies,-99.73,USD,Cleared,Merchant_36,MED-01,Wellness,12795.87
TXN-1118,2026-02-09,Checking,Business,Software,SaaS Subscription,-52.56,USD,Cleared,Merchant_17,BIZ-EXP,Project_Alpha,12743.31
TXN-1119,2026-02-09,Credit,Transport,Fuel,Gas Station,-129.89,USD,Cleared,Merchant_12,TRA-01,Commute,12613.42
TXN-1120,2026-02-10,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_3,INC-01,Core,18113.42
TXN-1121,2026-02-10,Credit,Business,Software,SaaS Subscription,-73.9,USD,Cleared,Merchant_10,BIZ-EXP,Project_Alpha,18039.52
TXN-1122,2026-02-10,Checking,Dining,Restaurant,Client Lunch,-125.84,USD,Cleared,Merchant_36,BIZ-MEAL,Sales,17913.68
TXN-1123,2026-02-11,Credit,Lifestyle,Entertainment,Cinema/Streaming,-148.85,USD,Cleared,Merchant_25,ENT-01,Personal,17764.83
TXN-1124,2026-02-11,Credit,Lifestyle,Entertainment,Cinema/Streaming,-45.99,USD,Cleared,Merchant_3,ENT-01,Personal,17718.84
TXN-1125,2026-02-11,Credit,Food,Groceries,Weekly Shop,-138.94,USD,Cleared,Merchant_25,FOOD-01,Living,17579.90
TXN-1126,2026-02-12,Checking,Dining,Restaurant,Client Lunch,-29.59,USD,Cleared,Merchant_40,BIZ-MEAL,Sales,17550.31
TXN-1127,2026-02-12,Checking,Dining,Restaurant,Client Lunch,-12.16,USD,Cleared,Merchant_19,BIZ-MEAL,Sales,17538.15
TXN-1128,2026-02-12,Credit,Food,Groceries,Weekly Shop,-107.92,USD,Cleared,Merchant_47,FOOD-01,Living,17430.23
TXN-1129,2026-02-13,Checking,Transport,Fuel,Gas Station,-78.67,USD,Cleared,Merchant_15,TRA-01,Commute,17351.56
TXN-1130,2026-02-13,Credit,Lifestyle,Entertainment,Cinema/Streaming,-72.46,USD,Cleared,Merchant_27,ENT-01,Personal,17279.10
TXN-1131,2026-02-13,Checking,Food,Groceries,Weekly Shop,-72.67,USD,Cleared,Merchant_46,FOOD-01,Living,17206.43
TXN-1132,2026-02-14,Credit,Travel,Uber,Airport Ride,-120.87,USD,Cleared,Merchant_39,BIZ-TRAV,Travel_Q1,17085.56
TXN-1133,2026-02-14,Checking,Dining,Restaurant,Client Lunch,-124.99,USD,Cleared,Merchant_10,BIZ-MEAL,Sales,16960.57
TXN-1134,2026-02-14,Checking,Business,Software,SaaS Subscription,-21.34,USD,Cleared,Merchant_40,BIZ-EXP,Project_Alpha,16939.23
TXN-1135,2026-02-15,Credit,Healthcare,Pharmacy,Medical Supplies,-129.83,USD,Cleared,Merchant_41,MED-01,Wellness,16809.40
TXN-1136,2026-02-15,Credit,Food,Groceries,Weekly Shop,-78.26,USD,Cleared,Merchant_21,FOOD-01,Living,16731.14
TXN-1137,2026-02-15,Checking,Transport,Fuel,Gas Station,-47.61,USD,Cleared,Merchant_21,TRA-01,Commute,16683.53
TXN-1138,2026-02-16,Checking,Lifestyle,Entertainment,Cinema/Streaming,-123.5,USD,Cleared,Merchant_35,ENT-01,Personal,16560.03
TXN-1139,2026-02-16,Credit,Business,Software,SaaS Subscription,-21.6,USD,Cleared,Merchant_19,BIZ-EXP,Project_Alpha,16538.43
TXN-1140,2026-02-16,Credit,Transport,Fuel,Gas Station,-133.1,USD,Cleared,Merchant_41,TRA-01,Commute,16405.33
TXN-1141,2026-02-17,Checking,Travel,Uber,Airport Ride,-88.64,USD,Cleared,Merchant_47,BIZ-TRAV,Travel_Q1,16316.69
TXN-1142,2026-02-17,Checking,Travel,Uber,Airport Ride,-109.71,USD,Cleared,Merchant_45,BIZ-TRAV,Travel_Q1,16206.98
TXN-1143,2026-02-17,Checking,Healthcare,Pharmacy,Medical Supplies,-112.41,USD,Cleared,Merchant_32,MED-01,Wellness,16094.57
TXN-1144,2026-02-18,Checking,Business,Software,SaaS Subscription,-11.75,USD,Cleared,Merchant_21,BIZ-EXP,Project_Alpha,16082.82
TXN-1145,2026-02-18,Credit,Transport,Fuel,Gas Station,-47.17,USD,Cleared,Merchant_6,TRA-01,Commute,16035.65
TXN-1146,2026-02-18,Credit,Lifestyle,Entertainment,Cinema/Streaming,-34.61,USD,Cleared,Merchant_15,ENT-01,Personal,16001.04
TXN-1147,2026-02-19,Credit,Travel,Uber,Airport Ride,-133.38,USD,Cleared,Merchant_30,BIZ-TRAV,Travel_Q1,15867.66
TXN-1148,2026-02-19,Checking,Business,Software,SaaS Subscription,-103.24,USD,Cleared,Merchant_32,BIZ-EXP,Project_Alpha,15764.42
TXN-1149,2026-02-19,Credit,Healthcare,Pharmacy,Medical Supplies,-63.39,USD,Cleared,Merchant_42,MED-01,Wellness,15701.03
TXN-1150,2026-02-20,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_17,INC-01,Core,21201.03
TXN-1151,2026-02-20,Credit,Healthcare,Pharmacy,Medical Supplies,-103.41,USD,Cleared,Merchant_8,MED-01,Wellness,21097.62
TXN-1152,2026-02-20,Credit,Dining,Restaurant,Client Lunch,-36.06,USD,Cleared,Merchant_37,BIZ-MEAL,Sales,21061.56
TXN-1153,2026-02-21,Checking,Business,Software,SaaS Subscription,-135.43,USD,Cleared,Merchant_19,BIZ-EXP,Project_Alpha,20926.13
TXN-1154,2026-02-21,Credit,Lifestyle,Entertainment,Cinema/Streaming,-90.59,USD,Cleared,Merchant_24,ENT-01,Personal,20835.54
TXN-1155,2026-02-21,Credit,Dining,Restaurant,Client Lunch,-10.62,USD,Cleared,Merchant_33,BIZ-MEAL,Sales,20824.92
TXN-1156,2026-02-22,Credit,Healthcare,Pharmacy,Medical Supplies,-116.11,USD,Cleared,Merchant_22,MED-01,Wellness,20708.81
TXN-1157,2026-02-22,Credit,Business,Software,SaaS Subscription,-69.1,USD,Cleared,Merchant_40,BIZ-EXP,Project_Alpha,20639.71
TXN-1158,2026-02-22,Checking,Business,Software,SaaS Subscription,-146.76,USD,Cleared,Merchant_4,BIZ-EXP,Project_Alpha,20492.95
TXN-1159,2026-02-23,Credit,Food,Groceries,Weekly Shop,-128.39,USD,Cleared,Merchant_30,FOOD-01,Living,20364.56
TXN-1160,2026-02-23,Checking,Food,Groceries,Weekly Shop,-145.13,USD,Cleared,Merchant_23,FOOD-01,Living,20219.43
TXN-1161,2026-02-23,Credit,Lifestyle,Entertainment,Cinema/Streaming,-147.68,USD,Cleared,Merchant_24,ENT-01,Personal,20071.75
TXN-1162,2026-02-24,Credit,Dining,Restaurant,Client Lunch,-137.95,USD,Cleared,Merchant_4,BIZ-MEAL,Sales,19933.80
TXN-1163,2026-02-24,Checking,Healthcare,Pharmacy,Medical Supplies,-10.12,USD,Cleared,Merchant_12,MED-01,Wellness,19923.68
TXN-1164,2026-02-24,Credit,Food,Groceries,Weekly Shop,-63.7,USD,Cleared,Merchant_19,FOOD-01,Living,19859.98
TXN-1165,2026-02-25,Checking,Dining,Restaurant,Client Lunch,-143.36,USD,Cleared,Merchant_17,BIZ-MEAL,Sales,19716.62
TXN-1166,2026-02-25,Credit,Travel,Uber,Airport Ride,-105.33,USD,Cleared,Merchant_16,BIZ-TRAV,Travel_Q1,19611.29
TXN-1167,2026-02-25,Credit,Transport,Fuel,Gas Station,-119.4,USD,Cleared,Merchant_37,TRA-01,Commute,19491.89
TXN-1168,2026-02-26,Checking,Dining,Restaurant,Client Lunch,-112.39,USD,Cleared,Merchant_44,BIZ-MEAL,Sales,19379.50
TXN-1169,2026-02-26,Checking,Lifestyle,Entertainment,Cinema/Streaming,-136.49,USD,Cleared,Merchant_34,ENT-01,Personal,19243.01
TXN-1170,2026-02-26,Credit,Dining,Restaurant,Client Lunch,-64.14,USD,Cleared,Merchant_35,BIZ-MEAL,Sales,19178.87
TXN-1171,2026-02-27,Checking,Dining,Restaurant,Client Lunch,-27.45,USD,Cleared,Merchant_26,BIZ-MEAL,Sales,19151.42
TXN-1172,2026-02-27,Credit,Business,Software,SaaS Subscription,-74.37,USD,Cleared,Merchant_28,BIZ-EXP,Project_Alpha,19077.05
TXN-1173,2026-02-27,Checking,Healthcare,Pharmacy,Medical Supplies,-57.01,USD,Cleared,Merchant_48,MED-01,Wellness,19020.04
TXN-1174,2026-02-28,Checking,Travel,Uber,Airport Ride,-93.2,USD,Cleared,Merchant_16,BIZ-TRAV,Travel_Q1,18926.84
TXN-1175,2026-02-28,Checking,Business,Software,SaaS Subscription,-127.43,USD,Cleared,Merchant_47,BIZ-EXP,Project_Alpha,18799.41
TXN-1176,2026-02-28,Checking,Healthcare,Pharmacy,Medical Supplies,-22.6,USD,Cleared,Merchant_9,MED-01,Wellness,18776.81
TXN-1177,2026-03-01,Credit,Transport,Fuel,Gas Station,-145.57,USD,Cleared,Merchant_36,TRA-01,Commute,18631.24
TXN-1178,2026-03-01,Credit,Business,Software,SaaS Subscription,-33.98,USD,Cleared,Merchant_30,BIZ-EXP,Project_Alpha,18597.26
TXN-1179,2026-03-01,Credit,Travel,Uber,Airport Ride,-104.91,USD,Cleared,Merchant_21,BIZ-TRAV,Travel_Q1,18492.35
TXN-1180,2026-03-02,Checking,Income,Salary,Monthly Payroll,5500,USD,Cleared,Merchant_16,INC-01,Core,23992.35
TXN-1181,2026-03-02,Checking,Lifestyle,Entertainment,Cinema/Streaming,-69.34,USD,Cleared,Merchant_3,ENT-01,Personal,23923.01
TXN-1182,2026-03-02,Credit,Business,Software,SaaS Subscription,-91.17,USD,Cleared,Merchant_29,BIZ-EXP,Project_Alpha,23831.84
TXN-1183,2026-03-03,Credit,Food,Groceries,Weekly Shop,-84.48,USD,Cleared,Merchant_43,FOOD-01,Living,23747.36
TXN-1184,2026-03-03,Checking,Lifestyle,Entertainment,Cinema/Streaming,-28.94,USD,Cleared,Merchant_41,ENT-01,Personal,23718.42
TXN-1185,2026-03-03,Checking,Business,Software,SaaS Subscription,-14.95,USD,Cleared,Merchant_8,BIZ-EXP,Project_Alpha,23703.47
TXN-1186,2026-03-04,Checking,Transport,Fuel,Gas Station,-35.22,USD,Cleared,Merchant_17,TRA-01,Commute,23668.25
TXN-1187,2026-03-04,Credit,Dining,Restaurant,Client Lunch,-139.15,USD,Cleared,Merchant_6,BIZ-MEAL,Sales,23529.10
TXN-1188,2026-03-04,Credit,Business,Software,SaaS Subscription,-105.36,USD,Cleared,Merchant_36,BIZ-EXP,Project_Alpha,23423.74
TXN-1189,2026-03-05,Checking,Healthcare,Pharmacy,Medical Supplies,-56.58,USD,Cleared,Merchant_39,MED-01,Wellness,23367.16
